Date,EUR,GBP,JPY
05may2004,.8272000000000001,.5575,109.58
06may2004,.822,.5578,108.72
07may2004,.8283,.5571,109.81
08may2004,.8414,.5590000000000001,112.38
09may2004,.8414,.5590000000000001,112.38
10may2004,.8425,.5604,112.29
11may2004,.8437,.5628,113.69
12may2004,.8429,.5699,113.24
13may2004,.8404,.5643,113.07
14may2004,.8462,.5674,114.5
15may2004,.8418,.5683,114.26
16may2004,.8418,.5677,114.25
17may2004,.8413000000000001,.5684,114.14
18may2004,.8319,.5656,114.32
19may2004,.8371,.5661000000000001,114.15
20may2004,.8326,.5610000000000001,113.08
21may2004,.838,.5632,112.93
22may2004,.8338,.5590000000000001,112.3
23may2004,.8336,.5590000000000001,112.35
24may2004,.835,.5598,112.17
25may2004,.8325,.5583,112.77
26may2004,.8269,.5522,111.78
27may2004,.8262000000000001,.5511,111.93
28may2004,.8153,.5441,110.89
29may2004,.8189,.5454,110.21
30may2004,.8185,.5454,110.21
31may2004,.817,.5452,110.36
01jun2004,.8207,.5461,109.41
02jun2004,.8169,.5436,110.66
03jun2004,.8188,.5453,110.11
04jun2004,.8183,.5432,110.76
05jun2004,.8138,.544,111.04
06jun2004,.8151000000000001,.544,111.09
07jun2004,.8142,.5434,111.13
08jun2004,.8121,.5433,109.57
09jun2004,.8155,.545,109.67
10jun2004,.8302000000000001,.5465,110.53
11jun2004,.8257,.5427,109.27
12jun2004,.8322000000000001,.5503,110.08
13jun2004,.8315,.5503,110.12
14jun2004,.8315,.5501,110.15
15jun2004,.8287,.5516,111.14
16jun2004,.8222,.5461,109.5
17jun2004,.8329,.5473,110.11
18jun2004,.8296,.5446,109.62
19jun2004,.8239,.5438,108.84
20jun2004,.8238,.5439000000000001,108.84
21jun2004,.824,.544,108.76
22jun2004,.8256,.5461,108.82
23jun2004,.8265,.5498,109.33
24jun2004,.8273,.5504,108.56
25jun2004,.822,.5483,107.34
26jun2004,.8226,.5479000000000001,107.67
27jun2004,.8226,.5479000000000001,107.71
28jun2004,.8215,.5476,107.59
29jun2004,.8207,.5465,107.93
